"id";"vpu_id";"decision";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at";"resource_type"
395;198;"scale_down";2.46;22.77;1.22;50.0;"";"";"";"198";"2026-06-20 13:15:17";"cpu"
397;199;"no_change";21.95;87.37;23.42;0.0;"";"";"";"199";"2026-06-20 13:15:17";"cpu"
399;200;"scale_down";6.6;25.4;11.36;50.0;"";"";"";"200";"2026-06-20 13:15:17";"cpu"
401;201;"scale_down";8.26;55.07;9.72;25.0;"";"";"";"201";"2026-06-20 13:20:19";"cpu"
403;202;"scale_down";7.68;56.23;8.7;25.0;"";"";"";"202";"2026-06-20 13:20:20";"cpu"
405;203;"scale_down";5.02;49.17;3.16;25.0;"";"";"";"203";"2026-06-20 13:20:20";"cpu"
407;204;"scale_down";5.44;49.93;17.73;25.0;"";"";"";"204";"2026-06-20 13:20:20";"cpu"
409;205;"scale_down";4.81;41.43;22.16;50.0;"";"";"";"205";"2026-06-20 13:20:20";"cpu"
411;206;"scale_down";0.68;26.3;1.46;50.0;"";"";"";"206";"2026-06-20 13:25:02";"cpu"
413;207;"scale_down";4.73;38.77;5.95;50.0;"";"";"";"207";"2026-06-20 13:25:02";"cpu"
415;208;"scale_down";0.26;15.8;0.59;50.0;"";"";"";"208";"2026-06-20 13:25:02";"cpu"
417;209;"scale_down";0.36;17.87;0.33;50.0;"";"";"";"209";"2026-06-20 13:25:02";"cpu"
419;210;"scale_down";0.64;24.63;0.74;50.0;"";"";"";"210";"2026-06-20 13:25:02";"cpu"
421;211;"scale_down";0.3;16.03;0.47;50.0;"";"";"";"211";"2026-06-20 13:29:36";"cpu"
423;212;"scale_down";0.76;18.53;0.4;50.0;"";"";"";"212";"2026-06-20 13:29:36";"cpu"
425;213;"scale_down";0.97;16.33;1.09;50.0;"";"";"";"213";"2026-06-20 13:29:36";"cpu"
427;214;"scale_down";2.48;25.1;1.67;50.0;"";"";"";"214";"2026-06-20 13:29:36";"cpu"
429;215;"no_change";8.85;73.1;28.84;0.0;"";"";"";"215";"2026-06-20 13:29:36";"cpu"
431;216;"scale_down";4.47;56.5;5.89;25.0;"";"";"";"216";"2026-06-20 13:34:32";"cpu"
433;217;"scale_down";2.03;24.6;3.62;50.0;"";"";"";"217";"2026-06-20 13:34:32";"cpu"
435;218;"scale_down";1.22;21.93;1.87;50.0;"";"";"";"218";"2026-06-20 13:34:32";"cpu"
437;219;"scale_down";1.38;22.67;1.7;50.0;"";"";"";"219";"2026-06-20 13:34:32";"cpu"
439;220;"scale_down";5.67;48.53;5.93;25.0;"";"";"";"220";"2026-06-20 13:34:32";"cpu"
441;221;"no_change";14.93;97.83;23.97;0.0;"";"";"";"221";"2026-06-20 13:39:07";"cpu"
443;222;"scale_down";14.35;35.77;0.87;50.0;"";"";"";"222";"2026-06-20 13:39:08";"cpu"
445;223;"no_change";11.35;79.47;15.34;0.0;"";"";"";"223";"2026-06-20 13:39:08";"cpu"
447;224;"scale_down";2.1;16.4;5.48;50.0;"";"";"";"224";"2026-06-20 13:39:08";"cpu"
449;225;"scale_down";3.61;59.13;1.34;25.0;"";"";"";"225";"2026-06-20 13:39:08";"cpu"
451;226;"scale_down";0.2;6.27;0.1;50.0;"";"";"";"226";"2026-06-20 13:43:52";"cpu"
453;227;"scale_down";0.03;4.9;0.1;50.0;"";"";"";"227";"2026-06-20 13:43:52";"cpu"
455;228;"scale_down";0.04;11.93;0.02;50.0;"";"";"";"228";"2026-06-20 13:43:52";"cpu"
457;229;"scale_down";0.23;14.67;0.54;50.0;"";"";"";"229";"2026-06-20 13:43:52";"cpu"
459;230;"scale_down";10.85;52.03;5.03;25.0;"";"";"";"230";"2026-06-20 13:43:52";"cpu"
461;231;"scale_down";3.31;48.63;3.72;25.0;"";"";"";"231";"2026-06-20 13:48:22";"cpu"
463;232;"scale_down";0.97;26.33;1.43;50.0;"";"";"";"232";"2026-06-20 13:48:22";"cpu"
465;233;"no_change";4.12;62.9;0.8;0.0;"";"";"";"233";"2026-06-20 13:48:22";"cpu"
467;234;"scale_down";2.7;43.7;0.63;50.0;"";"";"";"234";"2026-06-20 13:48:22";"cpu"
469;235;"scale_down";1.51;18.67;0.7;50.0;"";"";"";"235";"2026-06-20 13:48:22";"cpu"
471;236;"no_change";4.88;62.07;3.7;0.0;"";"";"";"236";"2026-06-20 13:53:01";"cpu"
473;237;"scale_down";4.83;57.7;5.4;25.0;"";"";"";"237";"2026-06-20 13:53:01";"cpu"
475;238;"scale_down";1.83;22.03;1.2;50.0;"";"";"";"238";"2026-06-20 13:53:01";"cpu"
