"id";"vpu_id";"decision";"resource_type";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at"
505;253;"scale_down";"cpu";5.95;41.9;8.53;50.0;"";"";"";"253";"2026-06-20 14:07:32"
507;254;"scale_down";"cpu";7.19;52.93;8.98;25.0;"";"";"";"254";"2026-06-20 14:07:32"
509;255;"scale_down";"cpu";1.71;32.03;3.55;50.0;"";"";"";"255";"2026-06-20 14:07:33"
511;256;"scale_down";"cpu";2.52;29.97;3.22;50.0;"";"";"";"256";"2026-06-20 14:12:10"
513;257;"scale_down";"cpu";2.2;27.83;2.14;50.0;"";"";"";"257";"2026-06-20 14:12:10"
515;258;"no_change";"cpu";21.74;65.87;3.11;0.0;"";"";"";"258";"2026-06-20 14:12:10"
517;259;"no_change";"cpu";5.88;66.67;20.55;0.0;"";"";"";"259";"2026-06-20 14:12:10"
519;260;"scale_down";"cpu";1.21;43.2;1.49;50.0;"";"";"";"260";"2026-06-20 14:12:10"
521;261;"no_change";"cpu";8.42;66.33;3.27;0.0;"";"";"";"261";"2026-06-20 14:17:01"
523;262;"no_change";"cpu";7.36;75.93;6.41;0.0;"";"";"";"262";"2026-06-20 14:17:01"
525;263;"scale_down";"cpu";1.79;28.17;1.26;50.0;"";"";"";"263";"2026-06-20 14:17:01"
527;264;"scale_down";"cpu";1.26;24.27;1.13;50.0;"";"";"";"264";"2026-06-20 14:17:01"
529;265;"scale_down";"cpu";1.23;41.7;3.32;50.0;"";"";"";"265";"2026-06-20 14:17:01"
531;266;"scale_down";"cpu";4.3;34.77;10.89;50.0;"";"";"";"266";"2026-06-20 14:21:37"
533;267;"scale_down";"cpu";6.84;44.07;8.62;50.0;"";"";"";"267";"2026-06-20 14:21:37"
535;268;"scale_down";"cpu";1.64;39.5;3.83;50.0;"";"";"";"268";"2026-06-20 14:21:37"
537;269;"scale_down";"cpu";2.71;26.73;3.72;50.0;"";"";"";"269";"2026-06-20 14:21:37"
539;270;"scale_down";"cpu";0.2;12.93;0.52;50.0;"";"";"";"270";"2026-06-20 14:21:37"
542;272;"scale_down";"cpu";3.69;58.83;3.52;25.0;"";"";"";"272";"2026-06-20 14:25:57"
544;273;"scale_down";"cpu";2.41;25.23;3.36;50.0;"";"";"";"273";"2026-06-20 14:25:57"
546;274;"scale_down";"cpu";5.74;51.03;6.85;25.0;"";"";"";"274";"2026-06-20 14:25:57"
548;275;"scale_down";"cpu";1.91;33.03;0.96;50.0;"";"";"";"275";"2026-06-20 14:25:57"
550;276;"scale_down";"cpu";2.84;47.53;3.58;25.0;"";"";"";"276";"2026-06-20 14:27:26"
552;277;"scale_down";"cpu";1.56;47.33;2.12;25.0;"";"";"";"277";"2026-06-20 14:30:35"
554;278;"scale_down";"cpu";0.57;18.4;0.86;50.0;"";"";"";"278";"2026-06-20 14:30:35"
556;279;"scale_down";"cpu";0.71;17.47;1.44;50.0;"";"";"";"279";"2026-06-20 14:30:35"
558;280;"scale_down";"cpu";1.22;20.43;0.88;50.0;"";"";"";"280";"2026-06-20 14:30:35"
