"vm_id";"vm_name";"cpu_count";"cpu_core_count";"ram";"hypervisor";"resize_type"
365;"host415";12;1;24576;"Hyper-v";"no_change"
366;"host416";4;1;8192;"Hyper-v";"no_change"
367;"host417";8;1;65536;"Hyper-v";"no_change"
368;"host418";4;2;32768;"Hyper-v";"no_change"
369;"host419";1;8;8192;"Hyper-v";"no_change"
370;"host420";8;1;16384;"Hyper-v";"no_change"
371;"host421";8;1;16384;"Hyper-v";"no_change"
372;"host422";4;1;12288;"Hyper-v";"no_change"
373;"host423";2;16;65536;"Hyper-v";"no_change"
374;"host424";49;1;65536;"Hyper-v";"no_change"
375;"host425";4;1;16384;"Hyper-v";"no_change"
376;"host426";4;1;8192;"Hyper-v";"no_change"
377;"host427";4;1;8192;"Hyper-v";"no_change"
378;"host428";2;1;20480;"Hyper-v";"no_change"
379;"host429";2;2;8192;"Hyper-v";"no_change"
380;"host430";1;6;24576;"Hyper-v";"no_change"
381;"host431";8;1;32768;"Hyper-v";"no_change"
382;"host432";4;1;24576;"Hyper-v";"no_change"
383;"host433";4;4;16384;"Hyper-v";"no_change"
384;"host434";4;4;16384;"Hyper-v";"no_change"
385;"host435";16;1;613037;"Hyper-v";"no_change"
386;"host436";16;1;214260;"Hyper-v";"no_change"
387;"host437";4;1;81920;"Hyper-v";"no_change"
388;"host438";6;1;24576;"Hyper-v";"no_change"
389;"host439";8;1;40960;"Hyper-v";"no_change"
390;"host440";2;1;12288;"Hyper-v";"no_change"
391;"host441";4;1;16384;"Hyper-v";"no_change"
392;"host442";4;1;16384;"Hyper-v";"no_change"
393;"host443";4;1;16384;"Hyper-v";"no_change"
394;"host444";8;1;32768;"Hyper-v";"no_change"
395;"host445";8;1;65536;"Hyper-v";"no_change"
396;"host446";8;1;65536;"Hyper-v";"no_change"
397;"host447";8;4;131072;"Hyper-v";"no_change"
398;"host448";4;1;16384;"Hyper-v";"no_change"
399;"host449";8;1;32768;"Hyper-v";"no_change"
400;"host450";16;1;200704;"Hyper-v";"no_change"
401;"host451";12;1;32768;"Hyper-v";"no_change"
402;"host452";8;1;32768;"Hyper-v";"no_change"
403;"host453";6;1;262144;"Hyper-v";"no_change"
404;"host454";6;1;12288;"Hyper-v";"no_change"
405;"host455";1;8;15680;"Hyper-v";"no_change"
406;"host456";8;1;32768;"Hyper-v";"no_change"
407;"host457";12;1;73728;"Hyper-v";"no_change"
408;"host458";2;5;32768;"Hyper-v";"no_change"
409;"host459";8;1;65536;"Hyper-v";"no_change"
410;"host460";2;1;12288;"Hyper-v";"no_change"
411;"host461";2;1;7698;"Hyper-v";"no_change"
412;"host462";3;2;16384;"Hyper-v";"no_change"
413;"host463";2;4;65536;"Hyper-v";"no_change"
414;"host464";1;2;8192;"Hyper-v";"no_change"
415;"host465";5;2;24576;"Hyper-v";"no_change"
416;"host466";8;1;16384;"Hyper-v";"no_change"
417;"host467";10;1;32768;"Hyper-v";"no_change"
418;"host468";5;2;24576;"Hyper-v";"no_change"
419;"host469";4;1;11706;"Hyper-v";"no_change"
420;"host470";1;1;4096;"Hyper-v";"no_change"
421;"host471";8;1;32768;"Hyper-v";"no_change"
422;"host472";8;1;32768;"Hyper-v";"no_change"
423;"host473";3;2;32768;"Hyper-v";"no_change"
424;"host474";1;2;8192;"Hyper-v";"no_change"
425;"host475";12;1;67584;"Hyper-v";"no_change"
426;"host476";2;16;131040;"Hyper-v";"no_change"
427;"host477";2;16;131040;"Hyper-v";"no_change"
428;"host478";0;1;0;"Hyper-v";"no_change"
429;"host479";2;2;16384;"Hyper-v";"no_change"
430;"host480";5;2;49152;"Hyper-v";"no_change"
431;"host481";6;1;32768;"Hyper-v";"no_change"
432;"host482";1;1;4096;"Hyper-v";"no_change"
433;"host483";16;1;262144;"Hyper-v";"no_change"
434;"host484";2;2;16384;"Hyper-v";"no_change"
435;"host485";2;2;12288;"Hyper-v";"no_change"
436;"host486";4;1;32768;"Hyper-v";"no_change"
437;"host487";4;2;16384;"Hyper-v";"no_change"
438;"host488";3;1;16384;"Hyper-v";"no_change"
439;"host489";8;1;63889;"Hyper-v";"no_change"
440;"host490";4;1;16384;"Hyper-v";"no_change"
441;"host491";4;1;15730;"Hyper-v";"no_change"
442;"host492";2;2;16384;"Hyper-v";"no_change"
443;"host493";4;2;16384;"Hyper-v";"no_change"
444;"host494";4;2;16384;"Hyper-v";"no_change"
445;"host495";6;1;16384;"Hyper-v";"no_change"
446;"host496";6;1;24576;"Hyper-v";"no_change"
447;"host497";6;1;16384;"Hyper-v";"no_change"
448;"host498";6;1;32768;"Hyper-v";"no_change"
449;"host499";6;1;16384;"Hyper-v";"no_change"
450;"host500";1;1;3634;"Hyper-v";"no_change"
